Centro Poblado,Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,C_Aerodromo,C_Regional,C_Nacional,C_Internacional
COSCUEZ,True,MUZO,10.5259043060436,JOSE CELESTINO,92.4926483656118,LA NUBIA,159.23500308311702,EL DORADO,103.135588658295,True,False,False,False
CASABLANCA,True,LA CHEKA,6.904014832294769,LAS BRUJAS,195.59659986232398,ALFONSO LOPEZ PUMAREJO,108.499433127954,SIMON BOLIVAR,44.0065110707191,True,False,False,False
MATEGUADUA,False,SOLANO,54.0341419783564,CONTADOR,110.163850551112,GUSTAVO ARTUNDUAGA PAREDES,48.64638220558471,BENITO SALAS,192.003460860014,False,False,False,False
SANTA ROSA DE VITERBO,True,PAIPA JUAN JOSE RONDON,18.3272641876939,ALBERTO LLERAS CAMARGO,22.067275430341603,EL ALCARAVAN,90.5429761351153,PALONEGRO,141.045312704811,True,True,False,False
EL IMPERIO,True,PAIPA JUAN JOSE RONDON,16.1112180657425,ALBERTO LLERAS CAMARGO,16.092837905724,EL ALCARAVAN,85.7032422245995,PALONEGRO,147.089673524895,True,True,False,False
SANTA SOFÍA,True,GUSTAVO ROJAS PINILLA,34.3379222079013,ALBERTO LLERAS CAMARGO,70.1479683852824,EL ALCARAVAN,141.807453936109,EL DORADO,127.60658677858999,True,False,False,False
SATIVANORTE,False,EL ESPINO,45.6552095893925,ALBERTO LLERAS CAMARGO,58.2337267102384,EL ALCARAVAN,97.16031058504619,PALONEGRO,122.537222946448,False,False,False,False
SATIVA VIEJO,False,EL ESPINO,47.777922264176794,ALBERTO LLERAS CAMARGO,56.16906456108521,EL ALCARAVAN,94.5822616554903,PALONEGRO,125.075864985557,False,False,False,False
SATIVASUR,False,EL ESPINO,49.572833334994,ALBERTO LLERAS CAMARGO,54.3790659366306,EL ALCARAVAN,93.4220677876568,PALONEGRO,126.18406222377199,False,False,False,False
SIACHOQUE,True,GUSTAVO ROJAS PINILLA,11.5383319019972,ALBERTO LLERAS CAMARGO,35.5032720658188,EL ALCARAVAN,97.63118843355309,EL DORADO,134.535728893381,True,True,False,False
SOATÁ,True,EL ESPINO,26.3637120321555,ALBERTO LLERAS CAMARGO,79.4353470362919,EL ALCARAVAN,117.40175736071801,PALONEGRO,104.196928167249,True,False,False,False
