NombreEstacionPeaje,Recaudo,Trafico,Cod_fecha
ANDES,8566835900.0,993625.0,2015_04
ANDES,9107857800.0,1063319.0,2015_05
ANDES,8615388500.0,1004780.0,2015_06
ANDES,9023156500.0,1042408.0,2015_07
ANDES,9314743700.0,1088098.0,2015_08
ANDES,8926831500.0,1030722.0,2015_09
ANDES,9549252000.0,1108975.0,2015_10
ANDES,9129779150.0,1064596.0,2015_11
ANDES,10253382900.0,1217845.0,2015_12
ANDES,9341236050.0,1036048.0,2016_01
ANDES,9225758450.0,1001589.0,2016_02
ANDES,9642000100.0,1058358.0,2016_03
ANDES,9415170700.0,1025509.0,2016_04
ANDES,9716389200.0,1066629.0,2016_05
ANDES,9432692900.0,1039355.0,2016_06
ANDES,9328062400.0,1047928.0,2016_07
ANDES,10124754700.0,1103631.0,2016_08
ANDES,10043278500.0,1076323.0,2016_09
ANDES,10282978900.0,1119480.0,2016_10
ANDES,10078784000.0,1094885.0,2016_11
ANDES,11289089550.0,1247473.0,2016_12
ANDES,10282652200.0,1077219.0,2017_01
ANDES,9721834100.0,996494.0,2017_02
ANDES,10595682000.0,1092847.0,2017_03
ANDES,10235129800.0,1067297.0,2017_04
ANDES,10646481600.0,1101549.0,2017_05
ANDES,10594031200.0,1097158.0,2017_06
ANDES,10830009500.0,1120652.0,2017_07
ANDES,11118015000.0,1146925.0,2017_08
ANDES,10668350600.0,1089840.0,2017_09
ANDES,11089080700.0,1131273.0,2017_10
ANDES,10814534500.0,1119348.0,2017_11
ANDES,11839252300.0,1247498.0,2017_12
ANDES,10709340300.0,1088479.0,2018_01
ANDES,10219396200.0,1013585.0,2018_02
ANDES,11336499100.0,1141929.0,2018_03
